order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Waktu Pesanan Dibuat,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0015120,1,1600,0,0,Keranjang,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. LAHAT,SUMATERA SELATAN,1000,15000,23000,16000,2025-11-03 01:54,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015121,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,0,3500,18900,3500,2025-11-03 02:33,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015122,3,300,0,0,Seal / Baut / Roof,1,Selesai,,Reguler (Cashless)-SPX Standard,Online Payment,KAB. GRESIK,JAWA TIMUR,0,8000,55000,8000,2025-11-03 06:08,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015123,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUMENEP,JAWA TIMUR,0,5000,17500,5000,2025-11-03 06:16,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015124,1,500,0,0,Other,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. ACEH UTARA,NANGGROE ACEH DARUSSALAM (NAD),7000,15000,24000,22000,2025-11-03 07:11,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015125,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,0,3500,19300,3500,2025-11-03 07:57,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015126,35,3500,0,87500,Seal / Baut / Roof,1,Selesai,,Same Day-SPX Sameday,Saldo ShopeePay,KAB. TANGERANG,BANTEN,0,28500,474400,28500,2025-11-03 08:33,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015127,3,1500,0,0,Celengan,1,Selesai,,Same Day-SPX Sameday,Online Payment,KOTA JAKARTA BARAT,DKI JAKARTA,22500,0,88000,22500,2025-11-03 08:55,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015128,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KOTA TANGERANG,BANTEN,0,3500,23000,3500,2025-11-03 09:06,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015129,1,500,0,0,Celengan,1,Selesai,,Instant-SPX Instant,Saldo ShopeePay,KOTA TANGERANG,BANTEN,3000,16000,18900,19000,2025-11-03 09:29,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015130,1,200,0,0,Peralatan Makan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,0,3500,13511,3500,2025-11-03 09:34,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015131,1,20000,0,0,Keranjang,1,Selesai,,GrabExpress Instant,Saldo ShopeePay,KAB. TANGERANG,BANTEN,0,39000,406510,39000,2025-11-03 10:18,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015132,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. KENDAL,JAWA TENGAH,0,5000,32898,5000,2025-11-03 10:55,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015133,6,1800,0,0,Mangkok Sambal / Saus,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAMBI,JAMBI,1000,55000,88900,56000,2025-11-03 11:34,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015134,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANDUNG,JAWA BARAT,0,3500,33000,3500,2025-11-03 11:36,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
ORD_0015135,1,500,0,0,Other,1,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Pesanan belum dibayar,Hemat Kargo,Alfamart/Alfamidi/Dan+Dan,KAB. BOGOR,JAWA BARAT,0,0,0,3500,2025-11-03 11:45,ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,2025-11,06_NovemberSales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/06_NovemberSales2025_clean.xlsx
