order_id,dataset_id,nama_dataset,periode,tanggal_pesanan,tanggal_diisi_dari_median,status_pesanan,alasan_pembatalan,kategori_produk,jumlah_kategori_produk,jumlah_barang,berat_total_gram,jumlah_return,diskon_total,metode_pembayaran,opsi_pengiriman,kota_kabupaten,provinsi,ongkir_dibayar_pembeli,potongan_ongkir,total_pembayaran,perkiraan_ongkir,tahun,bulan,tahun_bulan,kategori_umum,outlier_total_pembayaran,total_pembayaran_capped
ORD_0015675,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 23:30:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. BANDUNG,JAWA BARAT,0.0,3500.0,39800.0,3500.0,2025,11,2025-11,Belanja,False,39800.0
ORD_0015676,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 00:05:00,False,Sedang Dikirim,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA KENDARI,SULAWESI TENGGARA,0.0,14000.0,12499.0,14000.0,2025,11,2025-11,Belanja,False,12499.0
ORD_0015677,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 00:29:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,300.0,0.0,1.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BANTUL,DI YOGYAKARTA,0.0,5000.0,16999.0,5000.0,2025,11,2025-11,Belanja,False,16999.0
ORD_0015678,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 02:23:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA DEPOK,JAWA BARAT,0.0,3500.0,31998.0,3500.0,2025,11,2025-11,Belanja,False,31998.0
ORD_0015679,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 05:41:00,False,Selesai,,Botol / Gelas / Mug,1.0,1.0,100.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. PURWOREJO,JAWA TENGAH,0.0,5000.0,12000.0,5000.0,2025,11,2025-11,Belanja,False,12000.0
ORD_0015680,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 05:46:00,False,Selesai,,Aksesoris Pintu,1.0,1.0,80.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA SEMARANG,JAWA TENGAH,5000.0,0.0,12402.0,5000.0,2025,11,2025-11,Belanja,False,12402.0
ORD_0015681,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 08:27:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. LANGKAT,SUMATERA UTARA,2000.0,15000.0,19499.0,17000.0,2025,11,2025-11,Belanja,False,19499.0
ORD_0015682,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 08:41:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BOGOR,JAWA BARAT,0.0,3500.0,26000.0,3500.0,2025,11,2025-11,Belanja,False,26000.0
ORD_0015683,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 08:56:00,False,Selesai,,Nampan / Tray,1.0,5.0,1750.0,0.0,0.0,Saldo ShopeePay,SPX Sameday,KOTA TANGERANG SELATAN,BANTEN,6974.0,16000.0,37374.0,22974.0,2025,11,2025-11,Belanja,False,37374.0
ORD_0015684,ecommerce_2025_11_november,November 2025,2025-11,2025-11-18 09:17:00,False,Selesai,,Mangkok Sambal / Saus,1.0,3.0,900.0,0.0,3.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. TEGAL,JAWA TENGAH,0.0,5000.0,46414.0,5000.0,2025,11,2025-11,Belanja,False,46414.0
